flightNumber;plane;dep_date;dep_time;dep_airport_name;dep_airport_code;dep_weather_min;dep_weather_max;dep_weather_desc;dep_door;arr_date;arr_time;arr_airport_name;arr_weather_min;arr_weather_max;arr_weather_desc;arr_belt;new_dep_status;new_arr_status;time_difference;time_difference_minutes;delayed
VLG1303; 32A;13/04/18;8:35;ALICANTE-ELCHE;ALC;11;18;Nubosidad variable;C43;13/04/18;9:45;BARCELONA-EL PRAT;12;17;Lluvia moderada;8;Despego;Aterrizo;0 days 00:59:00;59;1
AEA4025; ATR-72;13/04/18;8:35;ALICANTE-ELCHE;ALC;11;18;Nubosidad variable;C42;13/04/18;9:45;PALMA DE MALLORCA;12;17;Lluvia;12;Despego;Aterrizo;0 days 01:02:00;62;0
IBE0514; AIRBUS A319;13/04/18;7:30;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;H28;13/04/18;8:45;A CORUÑA;10;15;Chubascos dispersos;2;Despego;Aterrizo;0 days 01:16:00;76;0
VLG3935; AIRBUS A320;13/04/18;8:40;PALMA DE MALLORCA;PMI;12;17;Lluvia;D88;13/04/18;9:45;ALICANTE-ELCHE;11;18;Nubosidad variable;10A;Despego;Aterrizo;0 days 00:59:00;59;0
VLG1312; AIRBUS A320;13/04/18;8:55;BARCELONA-EL PRAT;BCN;12;17;Lluvia moderada;B47;13/04/18;10:05;ALICANTE-ELCHE;11;18;Nubosidad variable;9B;Despego;Aterrizo;0 days 01:03:00;63;0
IBE8931; CANADAIR CRJ-200;13/04/18;8:40;SEVILLA;SVQ;8;17;Lluvia;K2;13/04/18;9:35;ALMERIA;8;17;Chubascos dispersos;1;Despego;Aterrizo;0 days 00:44:00;44;0
IBE8594; BOMBARDIER CRJ-1000;13/04/18;9:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;K95;13/04/18;10:10;ALMERIA;8;17;Chubascos dispersos;1;Despego;Aterrizo;0 days 01:09:00;69;0
IBB604; ATR-42/72;13/04/18;8:00;LA PALMA;SPC;16;21;Cubierto de nubes altas y medias;5;13/04/18;8:30;TENERIFE NORTE;17;22;Nubosidad variable;3;Despego;Aterrizo;0 days 00:34:00;34;0
IBB606; ATR-72;13/04/18;8:30;LA PALMA;SPC;16;21;Cubierto de nubes altas y medias;4;13/04/18;9:00;TENERIFE NORTE;17;22;Nubosidad variable;3;Despego;Aterrizo;0 days 00:32:00;32;0
IBB304; ATR-42/72;13/04/18;8:40;LA PALMA;SPC;16;21;Cubierto de nubes altas y medias;6;13/04/18;9:30;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;12;Despego;Aterrizo;0 days 00:45:00;45;0
CNF413; ATR-72;13/04/18;8:50;LA PALMA;SPC;16;21;Cubierto de nubes altas y medias;9;13/04/18;9:20;TENERIFE NORTE;17;22;Nubosidad variable;1;Despego;Aterrizo;0 days 00:31:00;31;0
IBB608; ATR-42/72;13/04/18;9:00;LA PALMA;SPC;16;21;Cubierto de nubes altas y medias;5;13/04/18;9:30;TENERIFE NORTE;17;22;Nubosidad variable;2;Despego;Aterrizo;0 days 00:31:00;31;0
IBE8330; CANADAIR CRJ-200;13/04/18;9:10;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;K80;13/04/18;10:15;BADAJOZ;6;16;Chubascos dispersos;1;Despego;Aterrizo;0 days 00:54:00;54;0
IBE0531; AIRBUS A319;13/04/18;9:25;VIGO;VGO;6;15;Chubascos dispersos;5;13/04/18;10:40;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;14;Despego;Aterrizo;0 days 01:09:00;69;0
AEA4004; EMBRAER ERJ-195;13/04/18;9:00;VALENCIA;VLC;11;21;Nubosidad variable;C10;13/04/18;9:55;PALMA DE MALLORCA;12;17;Lluvia;14;Despego;Aterrizo;0 days 01:06:00;66;0
VOE3583; BOEING 717;13/04/18;9:20;VALENCIA;VLC;11;21;Nubosidad variable;D13;13/04/18;10:45;ASTURIAS;8;14;Lluvia;3;Despego;Aterrizo;0 days 01:14:00;74;0
IBE8993; BOMBARDIER CRJ-1000;13/04/18;9:40;VALENCIA;VLC;11;21;Nubosidad variable;R55;13/04/18;10:40;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;7;Despego;Aterrizo;0 days 00:45:00;45;0
CPA1870; BOMBARDIER CRJ-1000;13/04/18;9:40;VALENCIA;VLC;11;21;Nubosidad variable;R55;13/04/18;10:40;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;7;Despego;Aterrizo;0 days 00:45:00;45;0
IBE8986; CANADAIR CRJ-900;13/04/18;8:45;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;K84;13/04/18;9:45;VALENCIA;11;21;Nubosidad variable;3;Despego;Aterrizo;0 days 00:53:00;53;1
IBE8530; BOMBARDIER CRJ-1000;13/04/18;9:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;K89;13/04/18;9:55;PAMPLONA;5;15;Lluvia moderada;1;Despego;Aterrizo;0 days 00:55:00;55;1
VLG1574; AIRBUS A320;13/04/18;9:05;ASTURIAS;OVD;8;14;Lluvia;7;13/04/18;10:30;BARCELONA-EL PRAT;12;17;Lluvia moderada;2;Despego;Aterrizo;0 days 01:18:00;78;1
IBE0479; AIRBUS A321;13/04/18;9:20;ASTURIAS;OVD;8;14;Lluvia;8;13/04/18;10:30;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;11;Despego;Aterrizo;0 days 01:01:00;61;1
IBS3877; AIRBUS A320;13/04/18;9:15;SANTIAGO;SCQ;10;15;Chubascos dispersos;3;13/04/18;10:30;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;16;Despego;Aterrizo;0 days 01:09:00;69;0
VLG2487; AIRBUS A319;13/04/18;8:35;SAN SEBASTIAN;EAS;9;15;Lluvia;2;13/04/18;9:40;BARCELONA-EL PRAT;12;17;Lluvia moderada;7;Despego;Aterrizo;0 days 01:00:00;60;1
IBB656; ATR-72;13/04/18;8:55;EL HIERRO;VDE;14;17;Chubascos dispersos;2;13/04/18;9:35;TENERIFE NORTE;17;22;Nubosidad variable;2;Despego;Aterrizo;0 days 00:39:00;39;1
IBB655; ATR-72;13/04/18;7:55;TENERIFE NORTE;TFN;17;22;Nubosidad variable;3;13/04/18;8:30;EL HIERRO;14;17;Chubascos dispersos;1;Despego;Aterrizo;0 days 00:37:00;37;1
HTY222; AWH;13/04/18;9:15;MALAGA-COSTA DEL SOL;AGP;8;16;Chubascos dispersos;D47;13/04/18;9:40;CEUTA;11;17;Lluvia; - ;Despego;Aterrizo;0 days 00:29:00;29;0
AEA5001; ATR-72;13/04/18;9:20;MALAGA-COSTA DEL SOL;AGP;8;16;Chubascos dispersos;D65;13/04/18;10:05;MELILLA;12;18;Chubascos dispersos;1;Despego;Aterrizo;0 days 00:40:00;40;0
IBE8262; ATR-72;13/04/18;9:20;MALAGA-COSTA DEL SOL;AGP;8;16;Chubascos dispersos;D45;13/04/18;10:10;MELILLA;12;18;Chubascos dispersos;2;Despego;Aterrizo;0 days 01:01:00;61;1
IBS3947; AIRBUS A320;13/04/18;9:05;SEVILLA;SVQ;8;17;Lluvia;1;13/04/18;10:20;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;12;Despego;Aterrizo;0 days 01:03:00;63;0
VLG3943; AIRBUS A320;13/04/18;9:10;SEVILLA;SVQ;8;17;Lluvia;4;13/04/18;10:40;PALMA DE MALLORCA;12;17;Lluvia;13;Despego;Aterrizo;0 days 01:26:00;86;0
VLG7310; AIRBUS A320;13/04/18;7:30;BARCELONA-EL PRAT;BCN;12;17;Lluvia moderada;A17;13/04/18;8:55;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;14;Despego;Aterrizo;0 days 01:25:00;85;1
VLG3929; AIRBUS A320;13/04/18;8:05;PALMA DE MALLORCA;PMI;12;17;Lluvia;D82;13/04/18;9:00;BARCELONA-EL PRAT;12;17;Lluvia moderada;2;Despego;Aterrizo;0 days 00:46:00;46;1
VLG3903; 32B;13/04/18;8:35;PALMA DE MALLORCA;PMI;12;17;Lluvia;D86;13/04/18;9:35;BARCELONA-EL PRAT;12;17;Lluvia moderada;3;Despego;Aterrizo;0 days 00:44:00;44;1
IBS3913; 32A;13/04/18;9:20;PALMA DE MALLORCA;PMI;12;17;Lluvia;D92;13/04/18;10:50;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;18;Despego;Aterrizo;0 days 01:25:00;85;0
IBE8511; CANADAIR CRJ-900;13/04/18;9:30;JEREZ DE LA FRONTERA;XRY;5;15;Lluvia;2;13/04/18;10:40;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;8;Despego;Aterrizo;0 days 01:07:00;67;0
IBE8314; ATR-72;13/04/18;8:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;K98;13/04/18;9:15;SAN SEBASTIAN;9;15;Lluvia;1;Despego;Aterrizo;0 days 01:21:00;81;1
VLG3541; AIRBUS A320;13/04/18;8:35;IBIZA;IBZ;13;17;Lluvia débil;6;13/04/18;9:35;BARCELONA-EL PRAT;12;17;Lluvia moderada;4;Despego;Aterrizo;0 days 00:45:00;45;1
AEA1703; ATR-72;13/04/18;9:50;IBIZA;IBZ;13;17;Lluvia débil;1;13/04/18;10:30;PALMA DE MALLORCA;12;17;Lluvia;11;Despego;Aterrizo;0 days 00:45:00;45;0
VLG1702; 32A;13/04/18;7:30;BARCELONA-EL PRAT;BCN;12;17;Lluvia moderada;A05;13/04/18;9:20;VIGO;6;15;Chubascos dispersos;3;Despego;Aterrizo;0 days 01:45:00;105;1
IBB605; ATR-72;13/04/18;7:30;TENERIFE NORTE;TFN;17;22;Nubosidad variable;2;13/04/18;8:00;LA PALMA;16;21;Cubierto de nubes altas y medias;4;Despego;Aterrizo;0 days 00:33:00;33;0
IBB309; ATR-72;13/04/18;7:20;GRAN CANARIA;LPA;16;21;Cubierto de nubes altas y medias;A07;13/04/18;8:10;LA PALMA;16;21;Cubierto de nubes altas y medias;4;Despego;Aterrizo;0 days 00:50:00;50;1
CNF412; ATR-72;13/04/18;7:50;TENERIFE NORTE;TFN;17;22;Nubosidad variable;1;13/04/18;8:20;LA PALMA;16;21;Cubierto de nubes altas y medias;2;Despego;Aterrizo;0 days 00:30:00;30;1
IBB607; ATR-42/72;13/04/18;8:00;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4A;13/04/18;8:30;LA PALMA;16;21;Cubierto de nubes altas y medias;4;Despego;Aterrizo;0 days 00:28:00;28;0
AEA9461; ATR-72;13/04/18;8:10;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4;13/04/18;8:45;LA PALMA;16;21;Cubierto de nubes altas y medias;2;Despego;Aterrizo;0 days 00:39:00;39;0
IBB611; ATR-42/72;13/04/18;9:00;TENERIFE NORTE;TFN;17;22;Nubosidad variable;3;13/04/18;9:30;LA PALMA;16;21;Cubierto de nubes altas y medias;4;Despego;Aterrizo;0 days 00:33:00;33;1
IBB414; ATR-42/72;13/04/18;7:10;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4A;13/04/18;8:00;FUERTEVENTURA;16;22;Nubosidad variable;14;Despego;Aterrizo;0 days 00:45:00;45;0
CNF803; ATR-72;13/04/18;7:40;GRAN CANARIA;LPA;16;21;Cubierto de nubes altas y medias;A13;13/04/18;8:20;FUERTEVENTURA;16;22;Nubosidad variable;13;Despego;Aterrizo;0 days 00:34:00;34;0
