flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_weather_min,dep_weather_max,dep_weather_desc,dep_door,arr_date,arr_time,arr_airport_name,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,dep_status_time,arr_status_time,new_dep_status,new_arr_status,time_difference,time_difference_minutes,arr_time_difference_minutes,delayed
VLG1303, 32A,13/04/18,08:35,ALICANTE-ELCHE,ALC,11,18,Nubosidad variable,C43,13/04/18,09:45,BARCELONA-EL PRAT,12,17,Lluvia moderada,T1_G,08,2025-02-23 09:04:00,2025-02-23 10:03:00,Despego,Aterrizo,0 days 00:59:00,59.0,18.0,1
AEA4025, ATR-72,13/04/18,08:35,ALICANTE-ELCHE,ALC,11,18,Nubosidad variable,C42,13/04/18,09:45,PALMA DE MALLORCA,12,17,Lluvia,NT,12,2025-02-23 08:33:00,2025-02-23 09:35:00,Despego,Aterrizo,0 days 01:02:00,62.0,-10.0,0
IBE0514, AIRBUS A319,13/04/18,07:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,6,14,Chubascos dispersos,H28,13/04/18,08:45,A CORUÑA,10,15,Chubascos dispersos,S1,2,2025-02-23 07:30:00,2025-02-23 08:46:00,Despego,Aterrizo,0 days 01:16:00,76.0,1.0,0
VLG3935, AIRBUS A320,13/04/18,08:40,PALMA DE MALLORCA,PMI,12,17,Lluvia,D88,13/04/18,09:45,ALICANTE-ELCHE,11,18,Nubosidad variable,NT1,10A,2025-02-23 08:36:00,2025-02-23 09:35:00,Despego,Aterrizo,0 days 00:59:00,59.0,-10.0,0
VLG1312, AIRBUS A320,13/04/18,08:55,BARCELONA-EL PRAT,BCN,12,17,Lluvia moderada,B47,13/04/18,10:05,ALICANTE-ELCHE,11,18,Nubosidad variable,NT1,9B,2025-02-23 08:47:00,2025-02-23 09:50:00,Despego,Aterrizo,0 days 01:03:00,63.0,-15.0,0
IBE8931, CANADAIR CRJ-200,13/04/18,08:40,SEVILLA,SVQ,8,17,Lluvia,K2,13/04/18,09:35,ALMERIA,8,17,Chubascos dispersos,1,1,2025-02-23 08:35:00,2025-02-23 09:19:00,Despego,Aterrizo,0 days 00:44:00,44.0,-16.0,0
IBE8594, BOMBARDIER CRJ-1000,13/04/18,09:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,6,14,Chubascos dispersos,K95,13/04/18,10:10,ALMERIA,8,17,Chubascos dispersos,1,1,2025-02-23 09:00:00,2025-02-23 10:09:00,Despego,Aterrizo,0 days 01:09:00,69.0,-1.0,0
IBB604, ATR-42/72,13/04/18,08:00,LA PALMA,SPC,16,21,Cubierto de nubes altas y medias,5,13/04/18,08:30,TENERIFE NORTE,17,22,Nubosidad variable,1,3,2025-02-23 08:00:00,2025-02-23 08:34:00,Despego,Aterrizo,0 days 00:34:00,34.0,4.0,0
IBB606, ATR-72,13/04/18,08:30,LA PALMA,SPC,16,21,Cubierto de nubes altas y medias,4,13/04/18,09:00,TENERIFE NORTE,17,22,Nubosidad variable,1,3,2025-02-23 08:28:00,2025-02-23 09:00:00,Despego,Aterrizo,0 days 00:32:00,32.0,0.0,0
IBB304, ATR-42/72,13/04/18,08:40,LA PALMA,SPC,16,21,Cubierto de nubes altas y medias,6,13/04/18,09:30,GRAN CANARIA,16,21,Cubierto de nubes altas y medias,01,12,2025-02-23 08:36:00,2025-02-23 09:21:00,Despego,Aterrizo,0 days 00:45:00,45.0,-9.0,0
CNF413, ATR-72,13/04/18,08:50,LA PALMA,SPC,16,21,Cubierto de nubes altas y medias,9,13/04/18,09:20,TENERIFE NORTE,17,22,Nubosidad variable,1,1,2025-02-23 08:43:00,2025-02-23 09:14:00,Despego,Aterrizo,0 days 00:31:00,31.0,-6.0,0
